"fishid","year","WY","region","age","sub_grp_sr_100","sub_grp_sr_150","clust_name_100","clust_name_150","selection"
"LFS_3762","2006",2006,"CBY",130,1,NA,"HS",NA,0
"LFS_3763","2006",2006,"CBY",223,1,1,"HS","HS",0
"LFS_3765","2006",2006,"CBY",176,1,1,"HS","HS",0
"LFS_3766","2006",2006,"SPB",167,1,1,"HS","HS",0
"LFS_3768","2006",2006,"SPB",228,1,1,"HS","HS",0
"LFS_3769","2006",2006,"SPB",211,1,1,"HS","HS",0
"LFS_3770","2006",2006,"SPB",225,1,1,"HS","HS",0
"LFS_3773","2006",2006,"SPB",201,NA,NA,NA,NA,0
"LFS_3774","2006",2006,"SPB",206,1,1,"HS","HS",0
"LFS_3775","2006",2006,"SPB",172,1,2,"HS","MS",0
"LFS_3776","2006",2006,"SPB",207,1,1,"HS","HS",0
"LFS_3777","2006",2006,"SPB",213,1,1,"HS","HS",0
"LFS_3778","2006",2006,"SPB",207,1,1,"HS","HS",0
"LFS_3779","2006",2006,"SPB",238,1,1,"HS","HS",0
"LFS_3780","2006",2006,"SPB",237,1,1,"HS","HS",0
"LFS_3781","2006",2006,"SPB",203,1,1,"HS","HS",0
"LFS_3782","2006",2006,"SPB",202,2,2,"MS","MS",0
"LFS_3783","2006",2006,"SPB",256,1,1,"HS","HS",0
"LFS_3784","2006",2006,"SPB",164,1,1,"HS","HS",0
"LFS_3785","2006",2006,"SPB",210,1,1,"HS","HS",0
"LFS_4963","1999",1999,"SUS",207,2,2,"MS","MS",0
"LFS_4964","1999",1999,"SUS",216,1,1,"HS","HS",0
"LFS_4965","1999",1999,"CAR",204,2,2,"MS","MS",0
"LFS_4966","1999",1999,"CAR",202,2,2,"MS","MS",0
"LFS_4967","1999",1999,"CAR",189,3,3,"LS","LS",0
"LFS_4968","2006",2006,"SPB",160,1,2,"HS","MS",0
"LFS_4969","2006",2006,"SPB",143,1,NA,"HS",NA,0
"LFS_4971","2006",2006,"CBY",138,1,NA,"HS",NA,0
"LFS_4972","2006",2006,"CBY",141,1,NA,"HS",NA,0
"LFS_4973","2006",2006,"CBY",125,1,NA,"HS",NA,0
